# Curated subset of bright/named fixed stars for cerridwen.
# Format: trad_name,bayer/flamsteed,epoch,RA(h,m,s),Dec(d,m,s),pmRA[0.1mas/yr],pmDE[0.1mas/yr],radvel[km/s],parallax[mas],mag
# Hipparcos-derived data, J2000 equinox.
Sirius,alCMa,2000.00, 6,45, 8.917,-16,42,58.02,  -5460.5, -12231.4, -7.6, 379.21,-1.46
Canopus,alCar,2000.00, 6,23,57.110,-52,41,44.38,    199.9,    236.7, 20.5,  10.43,-0.72
Arcturus,alBoo,2000.00,14,15,39.672,+19,10,56.67, -10934.5, -19994.0, -5.2,  88.83,-0.05
Vega,alLyr,2000.00,18,36,56.336,+38,47, 1.30,   2009.4,   2862.3,-13.9, 130.23, 0.03
Capella,alAur,2000.00, 5,16,41.359,+45,59,52.77,    755.2,  -4271.3, 30.2,  77.29, 0.08
Rigel,beOri,2000.00, 5,14,32.272,-08,12, 5.91,     13.1,      5.0, 17.8,   4.22, 0.18
Procyon,alCMi,2000.00, 7,39,18.119,+05,13,29.96,  -7145.9, -10368.0, -3.2, 286.05, 0.34
Achernar,alEri,2000.00, 1,37,42.847,-57,14,12.31,    880.2,   -400.8, 16.0,  22.68, 0.46
Betelgeuse,alOri,2000.00, 5,55,10.305,+07,24,25.43,    275.4,    113.0, 21.0,   5.95, 0.50
Altair,alAql,2000.00,19,50,46.999,+08,52, 5.96,   5368.2,   3855.4,-26.1, 194.95, 0.77
Aldebaran,alTau,2000.00, 4,35,55.239,+16,30,33.49,    627.8,  -1893.6, 54.3,  50.09, 0.85
Spica,alVir,2000.00,13,25,11.578,-11, 9,40.76,   -425.0,   -317.3,  1.0,  12.44, 0.97
Antares,alSco,2000.00,16,29,24.460,-26,25,55.21,   -101.6,   -232.1, -3.4,   5.40, 1.06
Pollux,beGem,2000.00, 7,45,18.949,+28, 1,34.32,  -6256.9,   -459.5,  3.3,  96.74, 1.16
Fomalhaut,alPsA,2000.00,22,57,39.046,-29,37,20.05,   3289.5,  -1646.7,  6.5, 130.08, 1.16
Deneb,alCyg,2000.00,20,41,25.917,+45,16,49.22,     19.9,     19.5, -4.5,   2.31, 1.25
Regulus,alLeo,2000.00,10, 8,22.311,+11,58, 1.95,  -2494.0,     49.1,  5.9,  41.13, 1.36
Castor,alGem,2000.00, 7,34,35.863,+31,53,17.82,  -1914.5,  -1485.0, -1.2,  64.12, 1.58
Bellatrix,gaOri,2000.00, 5,25, 7.863,+06,20,58.93,    -87.5,   -132.8, 18.2,  13.42, 1.64
Polaris,alUMi,2000.00, 2,31,49.095,+89,15,50.79,    442.2,   -117.4,-17.0,   7.54, 1.97
Mirach,beAnd,2000.00, 1, 9,43.924,+35,37,14.01,   1755.9,  -1122.3,  3.0,  16.36, 2.05
Algol,bePer,2000.00, 3, 8,10.132,+40,57,20.33,     23.9,    -14.4,  4.0,  35.14, 2.12
